,company,job_title
116,ALIGN Executive Search,Business Data Analyst - Escrow/Title
117,Simplified IT Solutions,Data Analyst
118,"Leo Tech, LLC",Data Technician/Analyst/Specialist
119,MemorialCare Long Beach Medical Center,"Application Data Analyst, Quality Assurance"
120,The Athletic,"Data Analyst, Content"
121,Kforce Inc,Data Analyst
122,Ottimo Resources,Systems and Data Analyst - SQL
123,Christy Dawn,Data Analyst and Planner
124,"Yoh, A Day & Zimmermann Company",Analytics and Data Analysis Manager
125,Cenergy International Services,"Product Manager, AVP"
126,Niagara Bottling,Manufacturing Data Analyst II
127,Blizzard Entertainment,"Senior Data Analyst, Battle.net & Online Products"
128,Intuit,Senior Technical Data Analyst
129,Bambee,Sr Operations Analyst
130,"Acumen, LLC",Data and Policy Analyst - Statistical Programmer
131,"Blind Squirrel, LLC",Game Data Analyst
132,Orange County Transportation Authority,Financial Analyst
133,Aeg Worldwide Inc,Statistical Data Analyst
134,Blommer Chocolate Company,"Process Analyst, IT & Documentation Support Person"
135,Calance,Kronos Analyst
136,Hyundai Capital America,"Sr. Analyst, Operations Strategy & Analytics"
137,Harvey Mudd College,Business Intelligence and Reporting Analyst
138,Providence Health & Services,Procurement Analyst - Summer Intern
139,UM Worldwide,"Senior Analyst, Data Science"
140,Heatlh People Inc.,"Data Analyst , Document Management Shared Services"
141,RSC Solutions,Data Warehouse Analyst: 19-01339
142,Motion Recruitment,Volunteer: 1-hour Data & Analytics call for Good Shepherd Services (Remote)
143,"LanceSoft, Inc.",Senior Data Analyst
144,"Frilly, Inc.",Director of Business and Data Analytics
145,S.F. EXPRESS CO. LTD,Business Analyst
146,Vertebrae Inc,Data & Analytics - eCommerce
147,Amazon,Data Analyst *** MS Access & Excel -Irwindale
148,Career Movement,Data Analyst
149,Long Beach Transit,Service Planning Analyst
150,Munchkin,"Data Analyst, Demand Planning"
151,Optum,Data Analyst III
152,Hylink Digital Solutions,Sales & Marketing Business Analyst Sr.
153,Lennar,Purchasing Data Management Analyst
154,Reformation,Director of BI and Data Analytics
155,Lakeside Medical Group,Encounter Data Analyst
156,MotorTrend Group,Automotive Data Analyst
157,"NBCUniversal Media, LLC",Credit Analyst - Commercial
158,PwC,Data and Analytics Technology - Manager (HIA)
159,Logix Federal Credit Union,VP Data & Analytics
160,Creative Circle,"Digital Marketing Analyst, Paid Social"
161,ALC,Data Analyst
162,"TUEREN, Inc.",Analytics Manager
163,Arrowhead Regional Medical Center,Law And Justice Data Analyst Contract
164,Ellen Digital Ventures,ELLEN Data & Analytics Director
165,"Motorsport Aftermarket Group, Inc. (MAG)",ERP Administrator & Data Analyst
166,LEAPROS™ Workforce Solutions,Data Analyst with on ERP
167,City of Hope,Quality Analyst
168,OnPrem Solution Partners,Senior Consultant - Data & Analytics - LA
169,Alliance Resource Group,Business Analyst
170,Naval Air Systems Command (NAVAIR),DATA ANALYST
171,VBeyond Corporation,Salesforce Data Analyst
172,TaskUs,Sr. Vice President of Data and Analytics
173,RGP,Consultant - Director of Enterprise Data & Analytics
174,Phenomenex,Data Analyst - Sales Intelligence
175,Analytic Recruiting Inc.,Data Analyst - Fixed Income Asset Manager
176,Conversion,Conversion Rate Optimization & Data Analyst
177,"Carrington Holding Company, LLC",Sr.Business Intelligence Reporting Analyst
178,RCM Technologies,Data Analyst
179,ASSET MARK LTD,Investment Data Analyst
180,Malakye.com,Sr Clinical Informatics Analyst
181,SureSale,Data Analyst / Growth Hacker
182,TekPartners,Solutions Architect
183,Deloitte,Senior Business Operations Analyst
184,Synergis,Data & BI Analyst
185,System1,Senior Data Analyst (Urgent!) $60/hour
186,Publicis Groupe,Underwriter
187,Beachbody,"Senior Analyst, Strategic Analysis"
188,San Bernardino County HR,Senior BI Analyst
189,Perspecta,Configuration and Data Management Analyst II
190,Live Nation Entertainment,Data Analyst
191,Wiley Job Network,"Senior Quantitative Modeler (Brea, CA)"
192,Applied Medical,IS Business Analyst
193,MemorialCare,"Application Data Analyst, Quality Assurance"
194,Bonduelle Fresh Americas,Senior Technical Data Analyst
195,Stream Realty Partners,Research Analyst
196,BELLA+CANVAS,Sales Operations Analyst
197,Google,"Sales Engineer, Data Analytics, Google Cloud"
198,ClearedJobs.Net,Sr Associate Business Analysis & Info – Data Analytics using Spotfire (JP6664)
199,"PennyMac Loan Services, LLC",Marketing Analyst
200,Inspire,"Sr. Analyst, Campaigns & Testing"
201,"Stand Up 8 Fitness, LLC",Sr. Supply Chain / Master Data Analyst
202,FILD,Business Intelligence Engineer
203,Raytheon,Splunk Data Engineering Analyst
204,Lucky Day,Senior Business Intelligence (BI) Engineer
205,Sony Pictures Entertainment,"SENIOR BUSINESS ANALYST – SECURITY, SAFETY & SUSTAINABILITY(S3)"
206,Masco Corporation,Director of Data and Analytics ( Pro Channel)
207,American Girl,Sr. Manager Customer Data & Analytics (American Girl)
208,WarnerMedia,Sales Operations Analyst Intern
209,Infinity Consulting Solutions,IT Business Analyst - Finance and Accounting
210,Areté,"Scientist 2, Data Analytics"
211,Activision,"Analyst, Descriptive Analytics (Call of Duty Mobile)"
212,Lakeside Medical,Senior Business Analyst
213,Mt. San Antonio College,Commission Analyst
214,Insigma Inc,BI Analyst with INCORTA -Irvine
215,MyJobHelper.com,Manager 3 Data and Analytics
216,VincentBenjamin,Data Consultant-Marketing (Duration Until December 2021)
217,Ajinomoto Animal Nutrition North America,Sr Analyst BI
218,Apple,"Content Data Scientist, Apple Media Products Data Science"
219,Esri,Senior Marketing Reporting Analyst
220,XE.com,Web Analyst
221,Hyundai Motor America,"Assistant Manager, Safety Data Analytics"
222,"Oaktree Capital Management, L.P.","AVP/VP, Data & Systems Analyst – Information Technology"
223,Bank of the West,Sr Data Analytics Analyst - End to End Operations
224,"Dynamic Healthcare Systems, Inc.",Risk Adjustment Data Analyst
225,Brighton Collectibles,Customer Relationship Management Analyst
226,Mediabistro,"CRM Analyst, Peacock"
227,"Simpluris, Inc.",Business Analyst - Short Term Contract (3 to 6 Months)
228,Onward Search,Marketing Data Analyst
229,Tech RBM,Senior Data Analyst
230,Human Health Project,Volunteer: Data Visualization Analyst
231,CCC Information Services,Business Systems Analyst
232,UC Irvine,Senior Budget Analyst or Budget Analyst II
233,vCORE Technology Partners,Data Analytics Engineering Lead
234,OpenX,Sr Data Analyst
235,Children's Hospital Los Angeles (CHLA),"Manager, Patient Safety Data and Analytics"
236,Edwards Lifesciences,Knowledge Management Specialist
237,Citizens Business Bank,CRA Data Analyst
238,Partners Personnel,SSRS Report Writer
239,SOORYA INTERNATIONAL,Energy Tool Base - Solar Data Analyst
240,PlayQ,Senior Data Analyst
241,Calabria,Business Systems Analyst
242,Cypress Creek Renewables,Investment Associate/ Sr. Analyst
243,Honeywell,Program Planning & Control Analyst III
