,position,company,location
369,Tech Consulting Manager - Big Data Engineer,EY,"Los Angeles, CA, US"
370,Behavioral Data Science Manager,mPulse Mobile,"Encino, CA, US"
371,"Master Data Analyst: SAP S/4 + Material Master, Customer Master, or Vendor Master + support/audit + Winshuttle required",KORE1,"Huntington Beach, CA, US"
372,Data Analyst,Cenergy,"Fullerton, CA, US"
373,Supervisor-Lab Cytogenetics,Columbia University in the City of New York,"Loma Linda, CA, US"
374,Data Analyst,Robert Half,"Playa Vista, CA, US"
375,Data Analyst,Staffigo,"Anaheim, CA, US"
376,Project Director,"University of California, Riverside","Riverside, CA, US"
377,Clinical Lab Scientist,Heatlh People Inc.,"Moreno Valley, CA, US"
378,SAS Data Analyst,Cenergy International Services,"Pomona, CA, US"
379,Data Scientist II,Amazon,"Culver City, CA, US"
380,Heightened Standards Data Analyst,City National Bank,"Beverly Hills, CA, US"
381,Staff Data Scientist,Harnham,Los Angeles Metropolitan Area
382,"Senior Data Scientist - SQL, Predictive Modeling, Data Analysis",CyberCoders,"Pasadena, CA, US"
383,Data Scientist -Orange County,Solugenix,"Orange, CA, US"
384,Data Analyst -Los Angeles,"iSpace, Inc.","Los Angeles, CA, US"
385,Data Analyst,The Job Network,"Los Angeles, CA, US"
386,QA Coordinator - Cellular Therapies,CHOC Children's,"Orange, CA, US"
387,Scientist II,Advanced Sterilization Products (ASP),"Irvine, CA, US"
388,Data Analyst/Programmer,The Judge Group,"Long Beach, CA, US"
389,Data Scientist Consultant - Burbank California,Capgemini,"Burbank, CA, US"
390,Senior Data Scientist,Amgen,"Thousand Oaks, CA, US"
391,Lead Datawarehouse Engineer,Chipotle Mexican Grill,"Newport Beach, CA, US"
392,Healthcare Data Analyst I,IEHP,"Rancho Cucamonga, CA, US"
393,Assoc Clinical Data Analyst,Ultimate Staffing,"Irvine, CA, US"
394,Senior Data Engineer,Collabera Inc.,"Santa Monica, CA, US"
395,Clinical Postdoctoral Scientist - Neurology - PI Dr. Tagliati,Cedars-Sinai,"Los Angeles, CA, US"
396,Specimen Processor - Nights (On Call / PRN) - Santa Fe Springs,Sonic Healthcare USA,"Santa Fe Springs, CA, US"
397,Solar System Scientist,Caltech,"Pasadena, CA, US"
398,Data Scientist- 27074 -Los Angeles County,UNICON International,"Los Angeles, CA, US"
399,Research Scientist/Senior Scientist,The Aerospace Corporation,"El Segundo, CA, US"
