,position,company,location
117,Lead Senior Data Scientist,The Trade Desk,"Irvine, CA, US"
118,Sales Data Analyst,Malakye.com,"Santa Monica, CA, US"
119,Data Scientist,Ipsos in North America,"Culver City, CA, US"
120,CRA Data Analyst,Citizens Business Bank,"Ontario, California, United States"
121,Public Policy Data Analyst (Community Safety),San Bernardino County HR,"San Bernardino, CA, US"
122,Data Analyst (Core Banking) -Gardena,PowerMind Solutions LTD,"Gardena, CA, US"
123,Senior Data Scientist,Fox Corporation,"Los Angeles, California, United States"
124,Data Scientist,Blue Icy Water,"Torrance, CA, US"
125,Data Scientist,MWIDM Inc.,"Costa Mesa, CA, US"
126,"Solutions Architect, Data Scientist",Onica,"Irvine, CA, US"
127,Senior Analytics Engineer (Animation) - Studio Data Science and Engineering,Netflix,"Los Angeles, CA, US"
128,Healthcare Data Analyst I,IEHP,"Rancho Cucamonga, CA, US"
129,JD Edwards Data Analyst,KORE1,"Glendale, CA, US"
130,Health Information Data Analyst,Clinicas Del Camino Real Inc,"Camarillo, CA, US"
131,Senior Data Scientist,Pacific Life,"Newport Beach, CA, US"
132,Sr Data Analyst,OpenX,"Pasadena, CA, US"
133,Lead Data Scientist,CrowdStrike,"El Segundo, CA, US"
134,"Data Scientist, Analytics - AR/VR Media",Facebook,"Los Angeles, CA, US"
135,Data Architect,Loma Linda University,"San Bernardino, CA, US"
136,Senior Data Scientist,STRIVR,"Los Angeles, CA, US"
137,Data Scientist Media Focus,Hearts & Science,"Los Angeles, California, United States"
138,Senior Data Scientist,Fox Tech,"Los Angeles, CA, US"
139,Data Scientist,R&D Partners,"Orange, CA, US"
140,Data Scientist,ConsultNet,"Irvine, CA, US"
141,Data Science Analyst w/ TS,Axiologic Solutions LLC,"Carson, CA, US"
142,Data Scientist,D Cube Analytics,"Los Angeles, CA, US"
143,Sr. Data Analyst,Dollar Shave Club,"Marina del Rey, CA, US"
144,Data Scientist,"Nexstar Media Group, Inc.","Los Angeles, CA, US"
145,Business Analyst,Joybird,"Commerce, CA, US"
146,Data Scientist/Visualization Master,InterMedia Advertising,"Los Angeles, CA, US"
147,Remote Big Data/Security Analyst - 20-01404,Infinity Consulting Solutions,"Burbank, CA, US"
148,Data Engineer | Big Data,OnPoint Search Consultants,"Los Angeles, California, United States"
149,Big Data QA Engineer,CoreLogic,"Irvine, California, United States"
150,Risk Adjustment Data Analyst,"Dynamic Healthcare Systems, Inc.","Santa Ana, CA, US"
151,Senior Research Data Scientist,NASA Jet Propulsion Laboratory,"Pasadena, California, US"
152,Interim Data Analyst (Project),Century Group,"Los Angeles, CA, US"
153,"Scientist 2, Data Analytics",Areté,"Northridge, CA, US"
154,Associate Data Scientist (Sales Engineering),Factual Inc,Greater Los Angeles Area
155,Data Analyst / Video Streaming,Jobspring Partners,"Santa Monica, CA, US"
156,Data Engineer,ringDNA,"Sherman Oaks, CA, US"
157,EAM Data Analyst,Microdesk,"Los Angeles, CA, US"
158,Support Services Data Analyst,Aveanna Healthcare,"Seal Beach, CA, US"
159,Operations Data Analyst,Thrive Market,"Los Angeles, CA, US"
160,Computational Linguist,Google,"Los Angeles, CA, US"
161,Physics Data Scientist,"TAE Technologies, Inc","Foothill Ranch, CA, US"
162,"Chief Data/BI Scientist - SQL, Python/R, Spark/Hadoop",CyberCoders,"Santa Monica, CA, US"
163,Sr. Data Analyst/Software Developer,Anser Advisory,"Pomona, CA, US"
164,Data Scientist - HCI,SCAN Health Plan,"Long Beach, CA, US"
165,"Sr. Data Architect, Data Lake and Advanced Analytics",Edwards Lifesciences,"Irvine, CA, US"
166,Senior Data Scientist,Mothership,"Culver City, California, US"
167,Support Services Data Analyst,Pediatria Healthcare for Kids,"Seal Beach, CA, US"
168,Master Data Analyst,Advanced Sterilization Products (ASP),"Irvine, CA, US"
169,Sr. Data Scientist,NEXT Trucking,"El Segundo, California, United States"
170,Data Engineer/ Apache Spark/ Spark/ Big Data/ Python/SQL,Bitwise Inc,"Santa Monica, CA, US"
171,Data Scientist - HCI,HealthPlan Services,"Long Beach, CA, US"
172,Big Data Engineer,Experian,"Costa Mesa, CA, US"
173,Senior Data Analyst with Healthcare Applications,Motion Recruitment,"Irvine, CA, US"
174,Big Data Engineer/Architect,KloudOne,Los Angeles Metropolitan Area
175,Big Data developer,Perficient,"Los Angeles, CA, US"
176,"Principal Data Scientist - Telco, Media & Entertainment",Databricks,"Los Angeles, CA, US"
177,Data Scientist- 27074,"Unicon, Inc.","Torrance, CA, US"
178,Senior Technical Data Analyst,Jobs Interviewing Now from HCS,"Woodland Hills, CA, US"
179,Lead Data Scientist,CitiusTech,"Lake Forest, CA, US"
180,Associate Manager Data Science & Analytics,"Mattel, Inc.","El Segundo, CA, US"
181,"Manager, Data Science - Santa Ana, CA or Eden Prairie, MN",UnitedHealth Group,"Eden, CA, US"
182,"Director, Data Science",AXS,"Los Angeles, CA, US"
183,Actuarial Data Scientist,Rivian,"Irvine, CA, US"
184,Senior Technical Data Analyst,Jobs Interviewing Now from MJH,"Woodland Hills, CA, US"
185,ERP Administrator & Data Analyst,"Motorsport Aftermarket Group, Inc. (MAG)","La Palma, CA, US"
186,Senior Data Scientist - Mobile Games,Activision Blizzard,"Santa Monica, CA, US"
187,Tech Consulting Senior - Big Data Engineer,EY,"Los Angeles, CA, US"
188,"Programmer Analyst /Data Science (SQL, Tableau, Modeling)","Platinum Enterprise Solutions, Inc.","Los Angeles, CA, US"
189,Big Data Engineer,SynapOne,"Thousand Oaks, CA, US"
190,Data Scientist -Ventura County,iLink Systems,"Ventura, CA, US"
191,--Scientist--,Infotree Service,"Thousand Oaks, CA, US"
192,"UM - Associate Director, Data Science",UM Worldwide,"Los Angeles, CA, US"
193,Molecular Genetics Technical Director,Kaiser Permanente,"Los Angeles, CA, US"
194,"Scientist II, Manufacturing Sciences",Thermo Fisher Scientific,"West Hills, CA, US"
195,ETL Developer – Big Data Transformations & Delicious Catered Lunches,Camden Kelly Corporation,"Alhambra, CA, US"
196,"Sr. Associate, Big Data Software Engineer",KPMG US,"Irvine, CA, US"
197,Lead Data Scientist,Farmers Insurance,"Woodland Hills, CA, US"
198,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",ZS,"Los Angeles, CA, US"
199,"Programmer Analyst, Data Science",Houlihan Lokey,"Los Angeles, CA, US"
200,Head of Data,FanAI Inc.,"Santa Monica, California, United States"
201,Data Science Fellow,Insight Data Science,Los Angeles Metropolitan Area
202,Data Analyst,Live Nation Entertainment,"West Hollywood, California, United States"
203,Big data developer,"Acadia Technologies, Inc.","Los Angeles, CA, US"
204,"Sr. Manager, Supply Chain Business Intelligence and Data Science",Niagara Water,"Diamond Bar, CA, US"
205,Senior Big Data Developer,AAA,"Costa Mesa, CA, US"
206,Senior Data Analyst - User Growth,TikTok,"Los Angeles, California, United States"
207,Scientist- Cell Biologist,MP Biomedicals,"Irvine, California, United States"
208,Senior Manager - Data Science,20th Century Fox Digital via Walton Issacson Agency,"Burbank, CA, US"
209,Research Scientist,Caltech,"Pasadena, CA, US"
210,Big data Architect- Apply now!,Advent Global Solutions,"Irvine, CA, US"
211,Data Scientist II,Amazon,"Culver City, CA, US"
212,Sr Data Analyst,"Veritone, Inc.","Costa Mesa, CA, US"
213,Lead Data Analyst,Cognizant,"Los Angeles, CA, US"
214,Senior Data Engineer,ReSci (Retention Science),"Santa Monica, CA, US"
215,Data Scientist Intern - Global Fashion Brands,TechStyle Fashion Group,"El Segundo, CA, US"
216,Data Analyst and Reporting,ATMECS Inc,"Culver City, CA, US"
217,"Data Scientist -Long-Term Contract; Torrance, CA -Torrance",The Kelly Group,"Torrance, CA, US"
218,Data Analyst,Swinerton,"Los Angeles, CA, US"
219,Consultant-Data Mining/Whse,Oracle Middleware Test Company,"Agoura Hills, CA, US"
220,Bioinformatics Specialist,University of Southern California,"Los Angeles, California, United States"
221,Accountant / Data Analyst,Creative Financial Staffing (CFS),"North Hollywood, CA, US"
222,Data Analyst,Cenergy,"Irwindale, CA, US"
223,Data Analyst - SAP Project - Summer Intern,"Maplehurst Bakeries, LLC","Ontario, CA, US"
224,Data Analyst,Robert Half,"Irvine, CA, US"
225,Business/Data Analyst Senior (FSD),Parker Aerospace,"Irvine, CA, US"
226,Business/Data Analyst,The Judge Group,"Ontario, CA, US"
227,Principal Data Scientist,Hays,"Burbank, California, United States"
228,Digital Innovation Engineer - Simply Biotech,TalentZök,"Long Beach, CA, US"
229,Data Analyst -Irvine,"Scadea Solutions, Inc.","Irvine, CA, US"
230,Credit Data Analyst,818,"Glendale, CA, US"
231,Data Scientist,Harnham,Los Angeles Metropolitan Area
232,Data Science Tutor,FLEX College Prep,"Irvine, CA, US"
233,Data Analyst II,Ultimate Staffing,"Santa Monica, CA, US"
234,Principal Data Science & Signals Engineer,Medtronic,"Northridge, CA, US"
235,Senior Data Scientist,Planet Pharma,"Irvine, California, United States"
236,"Sr. Data Scientist, Predictive Analysis - HBO Max",WarnerMedia,"Burbank, CA, US"
237,Senior Data Scientist,Verizon,"Irvine, CA, US"
238,CTO - Data Science Focus,NerdHire,"Irvine, CA, US"
239,Enterprise Data Analyst,City National Bank,"Los Angeles, CA, US"
240,Senior Data Analyst,MobilityWare,"Irvine, CA, US"
241,Data Analyst (Python) -Los Angeles,"Stand Up 8 Fitness, LLC","Los Angeles, CA, US"
242,"Data Analyst, Sr (PDMS)",CalOptima,"Orange, CA, US"
243,Data Scientist,ASICSoft,"Los Angeles, CA, US"
244,Data Science & Analytics Manager,DISQO,"Glendale, CA, US"
245,"Data Scientist, Mid",Booz Allen Hamilton,"Oxnard, CA, US"
246,Data Analyst,The Job Network,"Glendale, CA, US"
247,Software Architect,Jobot,"Los Angeles, CA, US"
248,Senior Data Analyst,My Lucky Day,"Beverly Hills, CA, US"
249,"Scientific Programs Manager, Data Science",Susan G. Komen,"Los Angeles, CA, US"
250,"Lead Python Engineer (Back End) New Big Data, BI, Analytics, Workforce Management Software Development Company",The Jiu Jitsu Foundation,"Huntington Beach, CA, US"
251,Data Scientist - (ICD9 and ICD 10 coding),City of Hope,"Irwindale, CA, US"
252,Senior Data Scientist,Focus GTS,Los Angeles Metropolitan Area
253,Data Scientist - Nationwide Opportunities,Amazon Web Services (AWS),"Santa Monica, CA, US"
254,Data Analyst III (Healthcare Analytics),Centene Corporation,"Woodland Hills, CA, US"
255,Sr. Data Analyst,JBCconnect | Creative Technology Talent,"Los Angeles, CA, US"
256,Media Data Analyst,Hylink Digital Solutions,"Los Angeles, CA, US"
257,Digital Innovation Engineer - Simply Biotech,Simply Biotech,"Long Beach, CA, US"
258,Business Intelligence Data Analyst -Remote,Kforce Inc,"Westlake Village, CA, US"
259,Specialist IS Analyst – Data Scientist (JP6855),"3 Key Consulting, Inc.","Thousand Oaks, CA, US"
260,Data Scientist,Cypress HCM,"Costa Mesa, CA, US"
261,Data Scientist -Torrance,Blue Icy Water,"Torrance, CA, US"
262,HR Data Analyst Intern,"Blackstone Consulting, Inc.","Los Angeles, CA, US"
263,"Salesforce SQL Data Analyst for Anaheim, LA California for Contract role.",TekisHub Consulting Services LLC,"Los Angeles, CA, US"
264,Marketing Data Analyst,San Manuel Casino,"Highland, CA, US"
265,Lead Senior Data Scientist,The Trade Desk,"Ventura, CA, US"
266,Scala Big Data Engineer,Jobspring Partners,"Los Angeles, CA, US"
267,Senior Data Scientist,Factual Inc,"Los Angeles, California, United States"
268,Data Scientist- 27074,Unicon A/S,"Torrance, CA, US"
269,Entry Level Data Scientist,R&D Partners,"Orange, CA, US"
270,Research Postdoctoral Scientist - Dr. Cheng - Heart Institute,Cedars-Sinai,"Los Angeles, CA, US"
271,Part Time Data Science Instructor,General Assembly,"Los Angeles, CA, US"
272,EAM Data Analyst,Microdesk,"Irvine, CA, US"
273,Data Scientist,D Cube Analytics,"Los Angeles, CA, US"
274,Senior Data Scientist,Southern California Edison (SCE),"Pomona, CA, US"
275,Sr. Data Analyst (Pharmacy),Molina Healthcare,"Long Beach, CA, US"
276,Remote Big Data/Security Engineer - 20-01757,Infinity Consulting Solutions,"Burbank, CA, US"
277,Senior Data Scientist,"MCR, LLC","El Segundo, CA, US"
278,Human Resources Data Analyst,"Blackstone Consulting, Inc","Los Angeles, California, United States"
279,Senior Data Analyst-Software Developer,Anser Advisory,"Santa Ana, CA, US"
280,"Director, AI & ML Data Science",Warner Bros. Entertainment,"Burbank, CA, US"
281,Sr. Data Scientist - MI3,CHOC Children's,"Orange, CA, US"
282,Senior Data Scientist,Internet Brands,"Los Angeles, CA, US"
283,Senior Data Scientist,Gallup,"Irvine, CA, US"
284,"Master Data Analyst: SAP S/4 + Material Master, Customer Master, or Vendor Master + support/audit required; Winshuttle a +",KORE1,"Huntington Beach, California, United States"
285,Source Reconstruction Scientist (Data Scientist),Kernel,"Culver City, California, US"
286,Product Manager - Spatial Analytics & Data Science,Esri,"Redlands, CA, US"
287,Senior Data Scientist,Agoda,"Los Angeles, CA, US"
288,Sr. Software Engineer (Big Data),Viant Technology,"Los Angeles, CA, US"
