,job_id,job_title,company,location,senority,posted_time,employment_type,scrape_time,search_query,search_location
461,461,"Data Scientist - Real Pay, Real Equity play!",CyberCoders,"Santa Monica, CA, US",,Posted 3 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
462,462,"Data Science Platform Engineer (Python, Data Science; AWS))",Kelly,"Torrance, CA, US",Entry level,Posted 2 days ago,Contract,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
463,463,Scientist I,Advanced Sterilization Products (ASP),"Irvine, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
464,464,Senior Data Scientist,Internet Brands,"Los Angeles, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
465,465,Big Data Developers / Lead,Nirvana Enterprises LLC,"El Segundo, CA, US",Associate,Posted 7 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
466,466,Big Data developer,Perficient,"Irvine, CA, US",Mid-Senior level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
467,467,Clinical Microbiologist - Full Time-Day,UHS,"Wildomar, CA, US",,Posted 5 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
468,468,"Clinical Data Analyst - Epidemiology and Safety, Full Time, Days, 8 Hours",St. Joseph Health,"Orange, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
469,469,Big Data Developer,GoDiRECT,"Orange, CA, US",Entry level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
470,470,"Sr. Data Analyst, Ad Operations",System1,"Venice, CA, US",Associate,Posted 4 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
471,471,Software Engineer,"Markent Personnel, Inc.","Huntington Beach, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
472,472,,NASA Jet Propulsion Laboratory,"Pasadena, California, US",,Posted 2 months ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
473,473,"Research Scientist, Lidar Science",Spectraforce Technologies,"Thousand Oaks, CA, US",Entry level,Posted 1 week ago,Part-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
474,474,Associate Research,CyberCoders,"Redlands, CA, US",Associate,Posted 2 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
475,475,Big Data Architect,Jobspring Partners,"Los Angeles, CA, US",Mid-Senior level,Posted 5 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
476,476,Scala Big Data Engineer,Amazon Web Services (AWS),"Santa Monica, CA, US",,Posted 1 week ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
477,477,Senior Data Scientist - Nationwide Opportunities,Microsoft,"Los Angeles, CA, US",Mid-Senior level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
478,478,Account Technology Strategist/Technical Specialist/Cloud Solution Architect,Ipsos in North America,"Culver City, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
479,479,"Senior Analyst, Media Development",Job Juncture,"Huntington Beach, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
480,480,Software Engineer,Department Of Navy,"Malibu, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
481,481,Computer Scientist,EY,"Los Angeles, CA, US",Associate,Posted 7 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
482,482,Tech Consulting Senior - Big Data Engineer,"Platinum Enterprise Solutions, Inc.","Los Angeles, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
483,483,"Programmer Analyst /Data Science (SQL, Tableau, Modeling) -Los Angeles","Mangrum Career Solutions, LLC","Huntington Beach, CA, US",Entry level,Posted 1 month ago,Contract,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
484,484,Bioinformatics Software Engineer,Thermo Fisher Scientific,"West Hills, CA, US",Associate,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
485,485,"Scientist II, Manufacturing Sciences",HELPMATES,"Buena Park, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
486,486,Lab Technician II,Starz,"Santa Monica, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
487,487,Sr. Data Engineer,mPulse Mobile,"Anza, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
488,488,Behavioral Data Science Manager,ReSci (Retention Science),"Santa Monica, CA, US",Mid-Senior level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
489,489,Senior Data Engineer (ML),Surf Search Inc,"Huntington Beach, CA, US",Associate,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
490,490,Bioinformatics Software Engineer,Deloitte,"Costa Mesa, CA, US",Entry level,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
491,491,Telco-Media Data Science Senior Manager,MyJobHelper.com,"Duarte, CA, US",,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
492,492,Staff Scientist,Columbia University in the City of New York,"Loma Linda, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
493,493,Supervisor-Lab Cytogenetics,NantKwest,"El Segundo, CA, US",Mid-Senior level,Posted 4 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
494,494,Senior Scientist Cell Therapy,Chipotle Mexican Grill,"Newport Beach, CA, US",Associate,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
495,495,Senior Data Quality Engineer,The Kelly Group,"Torrance, CA, US",Associate,Posted 1 day ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
496,496,"Data Science Platform Engineer - Python, AWS; Torrance, CA",East Side Clinical Laboratory,"Santa Fe Springs, CA, US",Entry level,Posted 3 days ago,Contract,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
497,497,Specimen Processor - 3rd Shift - Santa Fe Springs,Kaiser Permanente,"Burbank, CA, US",Entry level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
498,498,Broker Compensation Business Data Analyst,First American Title,"Santa Ana, CA, US",Associate,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
499,499,Principal Data Scientist- Valuation,Infinity Consulting Solutions,"Burbank, CA, US",Entry level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
500,500,Remote Big Data/Security Engineer - 20-01734,Harnham,"Irvine, California, United States",Entry level,Posted 1 week ago,Contract,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
501,501,"Senior Data Scientist, Marketing",Internet Brands,"Los Angeles, California, United States",,Posted 3 weeks ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
502,502,Big Data Engineer,20th Century Fox Digital via Walton Issacson Agency,"Burbank, CA, US",Associate,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
503,503,Senior Data Science / Machine Learning Engineer,Caltech,"Pasadena, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
504,504,Solar System Scientist,ATMECS Inc,"Santa Monica, CA, US",Associate,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
505,505,Sr Big Data Engineer,Trace3,"Irvine, CA, US",Associate,Posted 6 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
