,job_id,skill
386,20,google analytics
387,20,looker
388,20,marketing
389,20,sql
390,20,statistics
391,20,written communication
392,21,advertising
393,21,analytics
394,21,big data
395,21,business
396,21,data mining
397,21,data modeling
398,21,data science
399,21,design
400,21,google cloud platform
401,21,hadoop
402,21,machine learning
403,21,marketing
404,21,mathematics
405,21,predictive modeling
406,21,python
407,21,quantitative analytics
408,21,research
409,21,scala
410,21,sql
411,21,statistical packages
412,21,tableau
413,22,business
414,22,business analysis
415,22,design
416,22,leadership
417,22,machine learning
418,22,python
419,22,resume
420,22,sas
421,22,statistics
422,22,writing
423,23,analytical skills
424,23,analytics
425,23,business
426,23,communication
427,23,data analysis
428,23,data analytics
429,23,data management
430,23,excel
431,23,finance
432,23,hive
433,23,marketing
434,23,master data
435,23,master data management
436,23,microsoft excel
437,23,multidimensional expressions
438,23,multidimensional expressions (mdx)
439,23,operations
440,23,pivot tables
441,23,power bi
442,23,resume
443,23,sales
444,23,spreadsheets
445,23,sql
446,24,analytics
447,24,applied mathematics
448,24,business
449,24,communication
450,24,computer science
451,24,core data
452,24,data analysis
453,24,data mining
454,24,data visualization
455,24,design
456,24,engineering
457,24,excel
458,24,finance
459,24,machine learning
460,24,machine learning algorithms
461,24,mathematics
462,24,research
463,24,statistics
464,25,advertising
465,25,analytics
466,25,apache
467,25,apache spark
468,25,bachelor's degree
469,25,big data
470,25,computer science
471,25,data mining
472,25,data solutions
473,25,design
474,25,engineering
475,25,finance
476,25,hadoop
477,25,information systems
478,26,bachelor's degree
479,26,bioengineering
480,26,bioinformatics
481,26,communication
482,26,computer science
483,26,data science
484,26,design
485,26,dna sequencing
486,26,engineering
487,26,excel
488,26,java
489,26,java
490,26,javascript
491,26,machine learning
492,26,pipeline development
493,26,presentation skills
494,26,python
495,26,research
496,26,sequencing
497,27,anti-fraud
498,27,audience segmentation
499,27,communication
500,27,customer engagement
501,27,customer retention
502,27,data science
503,27,engineering
504,27,leadership
505,27,lifetime value
506,27,machine learning
507,27,master's degree
508,27,mentoring
509,27,next gen
510,27,personalization
511,27,predictive modeling
512,27,python
513,27,research
514,27,tensorflow
515,28,accounting
516,28,business
517,28,engineering
518,28,excel
519,28,microsoft excel
520,28,operations
521,28,pivot tables
522,28,presentations
523,28,sap
524,29,advertising
525,29,analytics
526,29,business
527,29,campaigns
528,29,communication
529,29,data analysis
530,29,data science
531,29,design
532,29,digital marketing
533,29,excel
534,29,google analytics
535,29,java
536,29,java
537,29,marketing
538,29,predictive modeling
539,29,research
540,29,resume
541,29,sql
542,29,statistics
543,29,tableau
544,29,web analytics
545,29,writing
546,30,excel
547,30,microsoft excel
548,30,pivot tables
549,30,sap
550,31,amazon
551,31,analytics
552,31,business
553,31,communication
554,31,data analysis
555,31,data visualization
556,31,engineering
557,31,insurance
